999 23.384600593908047 Namespace(alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=7708034, language='Japanese-GSD_2.4') [5.126782438116338, 3.3406572277011493, 3.3406572277011493, 3.3406572277011493]
だす 0
かける 2
続ける 4
わす 6
ある 8
まい 10
うる 12
易い 14
出す 16
やすい 18
にくい 20
かねる 22
そうだ 24
める 26
良い 28
済み 30
なければ 32
なら 34
なさる 36
かす 38
あう 40
切る 42
できる 44
出来る 46
がたい 48
よう 50
過ぎる 52
てる 54
づめる 56
らるる 58
くださる 60
いける 62
回る 64
ね 66
がちだ 68
だめ 70
DERIV 72
かもしれる 74
こむ 76
はじめる 78
VAL 80
VOICE/MOOD 82
たら 84
MOOD 86
つづける 88
らしい 90
尽くす 92
難い 94
たー 96
べる 98
POLITENESS 100
でした 102
らす 104
げる 106
すぎる 108
ようだ 110
なる 112
直す 114
ちゃう 116
TAM 118
だ 120
ざるを得る 122
みたいだ 124
POLARITY 126
FIN 128
づらい 130
べし 132
始める 134
込む 136
ざるをえる 138
合う 140
かも知れる 142
きる 144
