1	0	2
협	2	1
년	4	10
같	6	2
부츠	8	1
로부터	10	1
판	12	1
불어	14	1
무예	16	1
ㅂ디다	18	1
의례	20	2
법인	22	1
지구	24	1
규정	26	1
네	28	8
는데다가	30	1
것	32	1
던데	34	2
두	36	3
범죄	38	2
라면서	40	2
철학자	42	1
벗	44	1
방법	46	1
완결	48	1
체	50	2
살	52	1
운동가	54	1
어두	56	1
화	58	25
사건	60	3
건	62	4
시키	64	550
고조	66	1
분	68	3
정식	70	1
만	72	22
ㅆ겠	74	1
비평가	76	1
느니	78	1
현상	80	3
수	82	2
현	84	1
추진	86	1
는라가는	88	1
이나	90	1
집	92	1
이유	94	2
중	96	21
터	98	1
다기	100	1
으려	102	7
에서	104	16
정당	106	1
월	108	4
머신	110	1
이론	112	1
수상	114	1
부서	116	1
활동	118	1
스포츠	120	2
제국	122	2
째	124	3
정도	126	2
도산	128	1
개관	130	1
도전	132	1
아동	134	1
원류	136	1
추	138	3
공급	140	1
공개	142	1
과제	144	1
코너	146	1
기사	148	1
스타	150	2
전체	152	1
타이인	154	1
기에	156	1
유물	158	1
계급	160	2
관계	162	6
숙명론	164	1
성분	166	1
스럽	168	88
물	170	1
연료	172	1
무상	174	1
단결	176	1
차	178	1
타	180	11
식	182	1
말	184	2
봉	186	1
금융	188	2
되	190	4402
쓰	192	1
이란	194	1
인식	196	1
십시오	198	5
무시	200	2
방가	202	1
으라는	204	1
군	206	12
년차	208	2
예고	210	1
아니	212	1
체제	214	2
맛나	216	1
지원	218	1
학년	220	1
으지라	222	1
ㄴ다구	224	1
교환	226	1
판매량	228	1
행진곡	230	1
있	232	34
역	234	2
사람	236	1
조정	238	2
장인	240	1
연구소장	242	1
시겠	244	1
퍼센트	246	1
보다	248	1
침략	250	1
상태	252	2
주제	254	1
뻘	256	1
직전	258	1
분야	260	1
분석	262	2
창설	264	1
ㄴ다고	266	32
느라고	268	1
어라	270	32
액수	272	1
으므로	274	6
듯이	276	1
니다	278	1
향도	280	1
았	282	1963
먹	284	6
는대	286	2
보완	288	1
데	290	2
대성	292	1
수세미	294	1
는가고	296	1
천	298	6
원	300	7
녀	302	2
정치	304	1
전통	306	1
의존	308	1
적	310	1807
쯤	312	1
떡집	314	1
예절	316	1
시대	318	3
더라고요	320	1
능력	322	2
나라	324	1
사업자	326	1
ㄴ다기	328	1
어다	330	1
아라	332	10
고야	334	1
누각	336	1
치우	338	2
기업	340	1
기념관	342	1
이	344	11336
냐고	346	2
ㄴ가라는	348	6
니까요	350	2
아야겠	352	9
ㄴ데요	354	2
입니다	356	1
없	358	9
이요	360	1
계	362	1
나다	364	1
다고	366	99
통일	368	1
없이	370	2
올리	372	1
박	374	2
ㄹ려고	376	2
회사	378	2
박자	380	1
ㄴ가	382	219
게	384	1405
신호	386	2
법	388	1
연기	390	2
았더	392	2
질서	394	1
셨	396	35
생	398	2
철	400	1
리라는	402	6
영토	404	1
이라	406	5
하	408	16164
았었	410	28
려던	412	6
아서	414	179
었었	416	38
ㄴ단	418	3
더	420	35
어야겠	422	15
겠	424	308
아야	426	149
지	428	2322
않	430	2
기	432	1359
내	434	29
개	436	3
기관지	438	1
ㄴ지라	440	2
제작	442	1
목적	444	1
기술자	446	1
기관사	448	1
주점	450	1
는군	452	2
회원	454	1
교육	456	2
는단	458	1
으려고	460	6
청소기	462	1
생산	464	1
는다라는	466	1
ㄴ다라는	468	2
자는	470	25
라도	472	1
평방	474	2
람	476	1
나가	478	2
ㄹ지라도	480	1
는	482	8289
ㄹ지어다	484	1
수단	486	1
추하	488	1
탈환	490	1
작용	492	3
랴	494	8
죠	496	36
라며	498	14
자루	500	1
동점	502	1
틀	504	1
조사	506	1
잡	508	2
미터	510	3
더군요	512	8
왕조	514	1
가요	516	2
개혁	518	1
불교	520	1
치	522	2
때	524	1
기술	526	1
세기	528	3
내주	530	2
ㄹ지	532	8
지도	534	1
브레인	536	1
개인	538	2
어도	540	15
태평	542	1
해	544	3
위원회	546	1
더라구요	548	6
ㄴ데다가	550	1
분규	552	1
을지	554	3
구나	556	8
며	558	156
다면서	560	2
양식	562	2
ㄴ거지	564	1
학자	566	4
취업	568	1
번째	570	1
주인	572	1
직후	574	1
스	576	1
교사	578	1
위원	580	1
로다	582	2
제도	584	3
다	586	14223
으리라는	588	5
쥬	590	1
시	592	309
ㄹ텐데	594	2
ㅂ니다만	596	4
적정	598	1
개선	600	1
낮	602	1
항목	604	1
규범	606	1
므로	608	5
분방	610	1
통일책	612	1
냐	614	23
총독	616	1
방	618	1
과정	620	3
로	622	6
달러	624	1
다란	626	1
회복	628	1
다라는	630	2
였	632	1
더니	634	15
으시	636	17
ㄴ데도	638	2
엔진	640	1
어요	642	51
리히	644	1
느냐	646	29
네요	648	24
7	650	1
ㄹ쏘냐	652	1
782	654	1
세대	656	1
버리	658	4
마비	660	1
아도	662	22
대계	664	1
ㄴ대	666	1
위	668	4
을려면	670	1
지마라	672	1
개월	674	2
봉사	676	1
빛	678	1
작	680	1
려면	682	19
권위주의	684	1
습니다	686	404
군요	688	1
유산	690	1
리라	692	24
지요	694	15
부터	696	13
노라는	698	1
ㄹ세	700	4
더군	702	1
느라	704	1
산	706	1
ㅆ었	708	1
민주주의화	710	1
결정	712	1
몬	714	1
일	716	5
방송국	718	2
법칙	720	1
듯	722	1
약	724	1
운영	726	1
러	728	23
부	730	1
승전	732	1
대립	734	1
단	736	3
던가	738	11
라더라	740	1
주위	742	1
는데요	744	1
증권	746	1
명	748	6
라네	750	3
고플	752	1
ㄴ가요	754	3
너라	756	1
파동	758	1
진행	760	1
태도	762	1
롭	764	34
도록	766	28
쉬	768	1
예요	770	2
게끔	772	5
가능	774	6
몰이	776	1
학술	778	1
