299 15.244708560302382 Namespace(alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=3683937, language='Korean', model=None) [4.54276651687621, 2.177815508614626, 2.177815508614626, 2.177815508614626]
았었 0
어야겠 2
아도 4
러 6
들 8
는다 10
려면 12
로 14
어떻 16
려고 18
는다면 20
었더 22
ㄹ수록 24
ㅂ시다 26
려 28
는지라 30
듯 32
었었 34
자 36
아라도 38
자마자 40
아라 42
도록 44
은 46
마는 48
고자 50
단다 52
ㄴ다든가 54
을지도 56
론가 58
ㅆ더 60
서 62
곤 64
랴 66
어라 68
자니 70
이 72
ㅆ겠 74
리라고는 76
았 78
던가 80
냐고 82
자면 84
외다 86
련만 88
아서 90
리로다 92
려니와 94
다가도 96
어서라면 98
게 100
ㅆ 102
ㄴ다고 104
ㄹ진대 106
죠 108
더 110
거나 112
듯이 114
므로 116
다면 118
며 120
다시피 122
ㄹ지도 124
도 126
어서 128
더니 130
니까요 132
ㅁ직하 134
을는지 136
ㄹ지라도 138
겠 140
대서야 142
군 144
어다 146
ㅂ시요 148
라면 150
는데 152
든 154
소 156
을리 158
다며 160
ㄴ걸 162
다면서 164
가 166
네 168
ㄴ즉 170
란다 172
려다가 174
어야지 176
고도 178
ㄹ텐데 180
십시요 182
대로 184
지라 186
자니까 188
다만 190
지마라 192
지예 194
거라 196
라나 198
나마 200
다니 202
니라 204
ㄴ데도 206
구 208
냐건 210
그렇 212
ㄹ지라 214
다는 216
자고 218
어도 220
면 222
뿐 224
에요 226
하 228
ㅂ니다 230
더라면 232
게나 234
셨 236
이요 238
ㄴ다면 240
니깐 242
는지도 244
는구나 246
어서야 248
ㄹ라치면 250
아야 252
다느니 254
리라고 256
시겠 258
었겠 260
는다고 262
고야 264
십시오 266
았겠 268
ㄹ걸 270
느라고 272
을까 274
고서야 276
데 278
리요 280
ㄴ대로 282
고서 284
야지 286
을지 288
아야겠 290
ㄹ지어다 292
습니다 294
지마는 296
걸랑 298
다네 300
긴 302
ㄴ다는데 304
까지의 306
스럽 308
은데 310
다든지 312
면서 314
는다면서 316
ㄴ데요 318
어야 320
요 322
ㄹ지 324
ㄴ데다 326
ㅂ니까 328
ㄹ까 330
라며 332
ㄴ지 334
거든 336
라 338
입니다 340
ㄴ지를 342
는단다 344
니까 346
시 348
아 350
다든가 352
어요 354
니 356
지 358
냐 360
ㄴ다며 362
랍니다 364
을른지 366
ㄹ려고 368
오 370
라도 372
이라거나 374
므로써 376
ㄹ 378
아야지 380
든가 382
리라 384
어야만이 386
ㄴ다 388
ㄹ세 390
다기 392
게도 394
ㅂ시오 396
ㅁ세 398
ㄴ단다 400
라는데 402
더구먼 404
옵니다 406
ㄹ는지 408
는지요 410
리만치 412
ㄴ지라 414
기 416
에서 418
을 420
다 422
의 424
ㄹ쏘냐 426
부터 428
든지 430
시오 432
에 434
저렇 436
ㄹ까요 438
세요 440
다가 442
구려 444
았더 446
처럼 448
옵소서 450
어서라도 452
다더라 454
던지 456
ㄴ들 458
어다가 460
되 462
서야 464
만 466
더라 468
ㄴ거지 470
느라 472
라네 474
느니라 476
다고 478
느냐고 480
로써 482
는가 484
라니 486
건대 488
ㄹ지언정 490
아서야 492
답니다 494
려다 496
노라면 498
ㄴ다거나 500
구나 502
군요 504
ㄹ지어라 506
없 508
리 510
라고 512
는 514
다지만 516
건만 518
ㄴ데 520
로서 522
거니와 524
리오 526
라구 528
ㄴ 530
ㄴ다면서 532
건 534
지는 536
노니 538
너라 540
란 542
이랴 544
고는 546
ㅆ었 548
와 550
이렇 552
예요 554
더군 556
조차 558
느냐 560
노라 562
ㄴ다지만 564
어져 566
지만 568
여 570
까지 572
보다 574
려는데 576
나다 578
읍시다 580
ㄹ세라 582
로다 584
게끔 586
는지 588
은가 590
더라도 592
야 594
ㄹ지니 596
다. 598
ㅂ디다 600
고 602
셔 604
ㄴ가 606
는게 608
ㅁ 610
나 612
는군 614
지요 616
어 618
다는데 620
지면 622
습니까 624
리만큼 626
